slice_type,slice_name,n,mdape,ppe10,ppe20,median_signed_pct_error,overvaluation_rate,undervaluation_rate,median_valuation_ratio,median_comp_count,median_comp_dispersion
neighborhood,STAPLETON,83,0.21766322916666667,0.2289156626506024,0.46987951807228917,0.1640034090909091,0.5903614457831325,0.18072289156626506,1.164003409090909,,
neighborhood,TRAVIS,41,0.217208642578125,0.24390243902439024,0.4634146341463415,-0.17866946138211381,0.0975609756097561,0.6585365853658537,0.8213305386178862,,
neighborhood,SCHUYLERVILLE/PELHAM BAY,178,0.21709071762088455,0.24719101123595505,0.43820224719101125,-0.0010131970400100339,0.4101123595505618,0.34269662921348315,0.99898680295999,,
neighborhood,WHITESTONE,344,0.21707220452967718,0.25872093023255816,0.4680232558139535,-0.11447476599580139,0.21511627906976744,0.5261627906976745,0.8855252340041986,,
neighborhood,NEW DORP-BEACH,68,0.21684196645802,0.16176470588235295,0.4411764705882353,-0.10927175810704254,0.3382352941176471,0.5,0.8907282418929574,,
neighborhood,BREEZY POINT,89,0.21590392857142857,0.2247191011235955,0.48314606741573035,-0.08302273622047245,0.29213483146067415,0.48314606741573035,0.9169772637795276,,
neighborhood,QUEENS VILLAGE,405,0.2146760093167702,0.16790123456790124,0.454320987654321,-0.15122114093959732,0.21481481481481482,0.6172839506172839,0.8487788590604027,,
neighborhood,BATH BEACH,177,0.21326708333333333,0.20903954802259886,0.4632768361581921,-0.018620220588235294,0.384180790960452,0.4067796610169492,0.9813797794117647,,
neighborhood,BELLEROSE,147,0.21317265381619938,0.20408163265306123,0.47619047619047616,-0.1862229668674699,0.11564625850340136,0.6802721088435374,0.8137770331325301,,
neighborhood,GREAT KILLS-BAY TERRACE,49,0.21237932180851063,0.14285714285714285,0.4489795918367347,-0.1664182621502209,0.24489795918367346,0.6122448979591837,0.8335817378497791,,
neighborhood,COUNTRY CLUB,107,0.2120366847826087,0.21495327102803738,0.4766355140186916,-0.11580200079239303,0.2336448598130841,0.5514018691588785,0.884197999207607,,
neighborhood,HOLLISWOOD,93,0.2119511956521739,0.27956989247311825,0.4838709677419355,0.034918478260869565,0.41935483870967744,0.3010752688172043,1.0349184782608696,,
neighborhood,MOUNT HOPE/MOUNT EDEN,43,0.21185885416666667,0.23255813953488372,0.4883720930232558,0.136541625,0.5116279069767442,0.2558139534883721,1.136541625,,
neighborhood,EAST ELMHURST,143,0.2113816304347826,0.23776223776223776,0.45454545454545453,-0.0883226,0.2727272727272727,0.48951048951048953,0.9116774,,
neighborhood,SO. JAMAICA-BAISLEY PARK,396,0.20826377551020409,0.24494949494949494,0.4797979797979798,-0.06505508299134521,0.3055555555555556,0.4494949494949495,0.9349449170086548,,
