period,borough,property_segment,n,median_sale_price,median_ppsf,ppsf_qoq_change
2023Q3,3,WALKUP,396,990000.0,472.94372294372295,-0.10910426951049468
2023Q4,3,WALKUP,263,1080000.0,466.991341991342,-0.01258581235697942
2024Q1,3,WALKUP,278,1110000.0,468.6560765178035,0.0035648081169188384
2024Q2,3,WALKUP,302,999499.5,447.8435872122333,-0.04440887539581406
2024Q3,3,WALKUP,346,1069813.5,483.6046962895392,0.0798517832976331
2024Q4,3,WALKUP,344,1130000.0,439.4129594003433,-0.09137987539876546
2019Q1,4,ELEVATOR,984,345000.0,196.15800865800864,
2019Q2,4,ELEVATOR,990,338000.0,183.982683982684,-0.06206896551724128
2019Q3,4,ELEVATOR,981,350000.0,194.2640692640693,0.055882352941176494
2019Q4,4,ELEVATOR,989,380000.0,215.6396103896104,0.11003342618384382
2020Q1,4,ELEVATOR,941,375000.0,211.03896103896105,-0.02133489919749465
2020Q2,4,ELEVATOR,589,390000.0,221.86147186147187,0.05128205128205132
2020Q3,4,ELEVATOR,862,424250.0,262.2581168831169,0.18208048780487807
2020Q4,4,ELEVATOR,882,390000.0,224.5670995670996,-0.1437172575017589
2021Q1,4,ELEVATOR,1048,390000.0,221.04978354978357,-0.015662650602409678
2021Q2,4,ELEVATOR,1354,450000.0,270.56277056277054,0.22399020807833514
2021Q3,4,ELEVATOR,1617,450000.0,297.6190476190476,0.10000000000000009
2021Q4,4,ELEVATOR,1422,415000.0,241.3961038961039,-0.1889090909090908
2022Q1,4,ELEVATOR,1476,446580.0,275.0270562770563,0.1393185384442952
2022Q2,4,ELEVATOR,1573,435000.0,259.7402597402597,-0.05558288243974441
2022Q3,4,ELEVATOR,1633,445000.0,275.97402597402595,0.0625
2022Q4,4,ELEVATOR,1078,392113.0,221.86147186147187,-0.19607843137254888
2023Q1,4,ELEVATOR,1055,420000.0,246.2121212121212,0.10975609756097549
2023Q2,4,ELEVATOR,1168,442559.0,268.93939393939394,0.09230769230769242
2023Q3,4,ELEVATOR,1096,409000.0,232.6839826839827,-0.13480885311871227
2023Q4,4,ELEVATOR,1138,415000.0,237.52380952380955,0.02080000000000015
2024Q1,4,ELEVATOR,962,410000.0,238.0952380952381,0.002405773857257376
2024Q2,4,ELEVATOR,1180,435000.0,261.7694805194805,0.09943181818181812
2024Q3,4,ELEVATOR,1168,425000.0,254.32900432900436,-0.028423772609818987
2024Q4,4,ELEVATOR,1280,446250.0,258.65800865800867,0.017021276595744483
2019Q1,4,SINGLE_FAMILY,2141,680000.0,420.6730769230769,
2019Q2,4,SINGLE_FAMILY,2415,670000.0,422.22222222222223,0.0036825396825397316
2019Q3,4,SINGLE_FAMILY,2550,685500.0,436.27722406792174,0.03328816226613052
2019Q4,4,SINGLE_FAMILY,2523,700000.0,446.4692482915718,0.02336134838444681
2020Q1,4,SINGLE_FAMILY,2215,710000.0,449.97353096876657,0.007848878037186369
2020Q2,4,SINGLE_FAMILY,1127,700000.0,449.4949494949495,-0.001063576945929956
2020Q3,4,SINGLE_FAMILY,1597,703000.0,447.5683890577508,-0.004286055804105016
2020Q4,4,SINGLE_FAMILY,2432,750000.0,473.1226796106763,0.05709583424049236
2021Q1,4,SINGLE_FAMILY,2353,765000.0,479.7768479776848,0.014064361430494277
2021Q2,4,SINGLE_FAMILY,2508,785000.0,485.8283655838567,0.012613192219840919
2021Q3,4,SINGLE_FAMILY,2707,825000.0,509.35550935550935,0.04842686314410294
2021Q4,4,SINGLE_FAMILY,2706,836000.0,507.7013164136622,-0.0032476196123611967
2022Q1,4,SINGLE_FAMILY,2546,860000.0,519.2534648671549,0.022753828048143854
2022Q2,4,SINGLE_FAMILY,2585,855000.0,527.4656679151061,0.015815403465920586
2022Q3,4,SINGLE_FAMILY,2439,870000.0,535.7142857142857,0.015638207945900096
2022Q4,4,SINGLE_FAMILY,1954,870000.0,519.5970856741574,-0.0300854400749061
2023Q1,4,SINGLE_FAMILY,1670,825000.0,506.64635223458754,-0.024924569049048384
2023Q2,4,SINGLE_FAMILY,1795,810000.0,510.62091503267976,0.00784484637175864
