segment,period,feature,feature_type,baseline_scope,reference_n,current_n,missing_rate_train,missing_rate_test,psi,ks,cat_tvd,cat_unseen_rate,status
SINGLE_FAMILY,2023Q3,distance_to_center_km,numeric,segment,103119,1911,0.0,0.0,0.0005821232345068493,0.014413519257437446,,,ok
SINGLE_FAMILY,2023Q3,gross_square_feet,numeric,segment,103119,1911,0.0,0.0,0.008746200195091333,0.024544854161953955,,,ok
SINGLE_FAMILY,2023Q3,h3_price_lag,numeric,segment,103119,1911,0.0,0.0,0.006150718565040534,0.021545438891279245,,,ok
SINGLE_FAMILY,2023Q3,neighborhood,categorical,segment,103119,1911,0.0,0.0,,,0.12707688026771524,0.0,ok
SINGLE_FAMILY,2023Q3,property_segment,categorical,segment,103119,1911,0.0,0.0,,,0.0,0.0,ok
SINGLE_FAMILY,2023Q3,residential_units,numeric,segment,102605,1909,0.0049845324334021855,0.0010465724751439038,0.0003883737736847243,0.01139198678000164,,,ok
SINGLE_FAMILY,2023Q3,total_units,numeric,segment,102605,1909,0.0049845324334021855,0.0010465724751439038,0.002445601678915244,0.011130684740559782,,,ok
SINGLE_FAMILY,2023Q3,year_built,numeric,segment,103119,1911,0.0,0.0,0.009716417468441544,0.021706521475858664,,,ok
SINGLE_FAMILY,2023Q4,borough,numeric,segment,103119,4546,0.0,0.0,0.0005255996314968065,0.0067737381071191205,,,ok
SINGLE_FAMILY,2023Q4,building_age,numeric,segment,103119,4546,0.0,0.0,0.0033650385974470453,0.012688950080768757,,,ok
SINGLE_FAMILY,2023Q4,building_class,categorical,segment,103119,4546,0.0,0.0,,,0.014255020746728304,0.0,ok
SINGLE_FAMILY,2023Q4,distance_to_center_km,numeric,segment,103119,4546,0.0,0.0,0.0012930111266368598,0.012579956284472782,,,ok
SINGLE_FAMILY,2023Q4,gross_square_feet,numeric,segment,103119,4546,0.0,0.0,0.002517043882925503,0.02270953602965997,,,ok
SINGLE_FAMILY,2023Q4,h3_price_lag,numeric,segment,103119,4546,0.0,0.0,0.0021904801118030224,0.01630079722816241,,,ok
SINGLE_FAMILY,2023Q4,neighborhood,categorical,segment,103119,4546,0.0,0.0,,,0.0897482104220826,0.0,ok
SINGLE_FAMILY,2023Q4,property_segment,categorical,segment,103119,4546,0.0,0.0,,,0.0,0.0,ok
SINGLE_FAMILY,2023Q4,residential_units,numeric,segment,102605,4524,0.0049845324334021855,0.004839419269687638,2.014787351789166e-07,0.004840929593117882,,,ok
SINGLE_FAMILY,2023Q4,total_units,numeric,segment,102605,4524,0.0049845324334021855,0.004839419269687638,0.000276532974765577,0.004919008372997524,,,ok
SINGLE_FAMILY,2023Q4,year_built,numeric,segment,103119,4546,0.0,0.0,0.003913321810357844,0.012688950080768757,,,ok
SINGLE_FAMILY,2024Q1,borough,numeric,segment,103119,4111,0.0,0.0,0.0014762724003251182,0.019078162993814818,,,ok
SINGLE_FAMILY,2024Q1,building_age,numeric,segment,103119,4111,0.0,0.0,0.005623378993892404,0.02535187534843214,,,ok
SINGLE_FAMILY,2024Q1,building_class,categorical,segment,103119,4111,0.0,0.0,,,0.033241499739401485,0.0,ok
SINGLE_FAMILY,2024Q1,distance_to_center_km,numeric,segment,103119,4111,0.0,0.0,0.007162398244019085,0.025393059791307127,,,ok
SINGLE_FAMILY,2024Q1,gross_square_feet,numeric,segment,103119,4111,0.0,0.0,0.005782849282641338,0.03143524381851864,,,ok
SINGLE_FAMILY,2024Q1,h3_price_lag,numeric,segment,103119,4111,0.0,0.0,0.001894548379282374,0.019436528271157383,,,ok
SINGLE_FAMILY,2024Q1,neighborhood,categorical,segment,103119,4111,0.0,0.0,,,0.10022233583897942,0.0,ok
SINGLE_FAMILY,2024Q1,property_segment,categorical,segment,103119,4111,0.0,0.0,,,0.0,0.0,ok
SINGLE_FAMILY,2024Q1,residential_units,numeric,segment,102605,4094,0.0049845324334021855,0.004135246898564826,0.008463573289969696,0.017592656581827404,,,ok
SINGLE_FAMILY,2024Q1,total_units,numeric,segment,102605,4094,0.0049845324334021855,0.004135246898564826,0.011900223663787431,0.02136605710446582,,,ok
SINGLE_FAMILY,2024Q1,year_built,numeric,segment,103119,4111,0.0,0.0,0.005374273856362742,0.025351875348432196,,,ok
SINGLE_FAMILY,2024Q2,borough,numeric,segment,103119,4690,0.0,0.0,0.0028003924324834237,0.025300016163245842,,,ok
SINGLE_FAMILY,2024Q2,building_age,numeric,segment,103119,4690,0.0,0.0,0.0023271013536983994,0.017370018049612523,,,ok
SINGLE_FAMILY,2024Q2,building_class,categorical,segment,103119,4690,0.0,0.0,,,0.027224467990497894,0.0,ok
SINGLE_FAMILY,2024Q2,distance_to_center_km,numeric,segment,103119,4690,0.0,0.0,0.004071567121038863,0.026448853438233777,,,ok
SINGLE_FAMILY,2024Q2,gross_square_feet,numeric,segment,103119,4690,0.0,0.0,0.0024522933384070688,0.01672884564133381,,,ok
SINGLE_FAMILY,2024Q2,h3_price_lag,numeric,segment,103119,4690,0.0,0.0,0.0055631223247929835,0.03174936006097745,,,ok
SINGLE_FAMILY,2024Q2,neighborhood,categorical,segment,103119,4690,0.0,0.0,,,0.09254220562158805,0.0,ok
SINGLE_FAMILY,2024Q2,property_segment,categorical,segment,103119,4690,0.0,0.0,,,0.0,0.0,ok
SINGLE_FAMILY,2024Q2,residential_units,numeric,segment,102605,4663,0.0049845324334021855,0.005756929637526652,0.0008371330082701005,0.007680978492262458,,,ok
SINGLE_FAMILY,2024Q2,total_units,numeric,segment,102605,4663,0.0049845324334021855,0.005756929637526652,0.001159560072573991,0.00943718513173597,,,ok
SINGLE_FAMILY,2024Q2,year_built,numeric,segment,103119,4690,0.0,0.0,0.0025619858339711145,0.01737001804961258,,,ok
SINGLE_FAMILY,2024Q3,borough,numeric,segment,103119,4980,0.0,0.0,0.0007177090005574081,0.0066520993349944435,,,ok
SINGLE_FAMILY,2024Q3,building_age,numeric,segment,103119,4980,0.0,0.0,0.0027473125229381563,0.012373305516599875,,,ok
SINGLE_FAMILY,2024Q3,building_class,categorical,segment,103119,4980,0.0,0.0,,,0.029275668992555893,0.0,ok
SINGLE_FAMILY,2024Q3,distance_to_center_km,numeric,segment,103119,4980,0.0,0.0,0.002010317876291579,0.009027089652065334,,,ok
SINGLE_FAMILY,2024Q3,gross_square_feet,numeric,segment,103119,4980,0.0,0.0,0.0015131061461978533,0.010055992158784388,,,ok
SINGLE_FAMILY,2024Q3,h3_price_lag,numeric,segment,103119,4980,0.0,0.0,0.0017337630631925802,0.01827544665030234,,,ok
