segment,period,feature,n,missing_n,missing_rate
WALKUP,2024Q1,days_since_2019_start,879,0,0.0
WALKUP,2024Q1,distance_to_center_km,879,0,0.0
WALKUP,2024Q1,gross_square_feet,879,0,0.0
WALKUP,2024Q1,h3_price_lag,879,0,0.0
WALKUP,2024Q1,month_cos,879,0,0.0
WALKUP,2024Q1,month_sin,879,0,0.0
WALKUP,2024Q1,neighborhood,879,0,0.0
WALKUP,2024Q1,property_segment,879,0,0.0
WALKUP,2024Q1,rate_regime_bucket,879,0,0.0
WALKUP,2024Q1,residential_units,879,453,0.515358361774744
WALKUP,2024Q1,total_units,879,453,0.515358361774744
WALKUP,2024Q1,year_built,879,0,0.0
WALKUP,2024Q2,borough,990,0,0.0
WALKUP,2024Q2,building_age,990,0,0.0
WALKUP,2024Q2,building_class,990,0,0.0
WALKUP,2024Q2,days_since_2019_start,990,0,0.0
WALKUP,2024Q2,distance_to_center_km,990,0,0.0
WALKUP,2024Q2,gross_square_feet,990,0,0.0
WALKUP,2024Q2,h3_price_lag,990,0,0.0
WALKUP,2024Q2,month_cos,990,0,0.0
WALKUP,2024Q2,month_sin,990,0,0.0
WALKUP,2024Q2,neighborhood,990,0,0.0
WALKUP,2024Q2,property_segment,990,0,0.0
WALKUP,2024Q2,rate_regime_bucket,990,0,0.0
WALKUP,2024Q2,residential_units,990,502,0.5070707070707071
WALKUP,2024Q2,total_units,990,502,0.5070707070707071
WALKUP,2024Q2,year_built,990,0,0.0
WALKUP,2024Q3,borough,986,0,0.0
WALKUP,2024Q3,building_age,986,0,0.0
WALKUP,2024Q3,building_class,986,0,0.0
WALKUP,2024Q3,days_since_2019_start,986,0,0.0
WALKUP,2024Q3,distance_to_center_km,986,0,0.0
WALKUP,2024Q3,gross_square_feet,986,0,0.0
WALKUP,2024Q3,h3_price_lag,986,0,0.0
WALKUP,2024Q3,month_cos,986,0,0.0
WALKUP,2024Q3,month_sin,986,0,0.0
WALKUP,2024Q3,neighborhood,986,0,0.0
WALKUP,2024Q3,property_segment,986,0,0.0
WALKUP,2024Q3,rate_regime_bucket,986,0,0.0
WALKUP,2024Q3,residential_units,986,520,0.5273833671399595
WALKUP,2024Q3,total_units,986,520,0.5273833671399595
WALKUP,2024Q3,year_built,986,0,0.0
WALKUP,2024Q4,borough,1016,0,0.0
